date,reason,code,total_score,price,occupied_slots,observation_occupied,observation_occupancy_pct
2017-01-19,MAX_POSITIONS,US.NFLX,89.33,13.841,10,1,10.0
2017-01-19,MAX_POSITIONS,US.PANW,80.09,23.653096658,10,1,10.0
2017-01-20,MAX_POSITIONS,US.AVGO,100.0,14.857256128,10,1,10.0
2017-01-23,MAX_POSITIONS,US.GOOGL,96.67,41.850401725,10,1,10.0
2017-01-23,MAX_POSITIONS,US.GOOG,89.23,40.607473819,10,1,10.0
2017-01-24,MAX_POSITIONS,US.AVGO,100.0,15.385600235,10,1,10.0
2017-01-24,MAX_POSITIONS,US.SNPS,100.0,62.41,10,1,10.0
2017-01-24,MAX_POSITIONS,US.TXN,100.0,59.379635768,10,1,10.0
2017-01-24,MAX_POSITIONS,US.ADBE,100.0,113.72,10,1,10.0
2017-01-24,MAX_POSITIONS,US.INTU,86.55,110.862344275,10,1,10.0
2017-01-25,MAX_POSITIONS,US.AVGO,80.19,15.760273042,10,1,10.0
2017-01-25,MAX_POSITIONS,US.META,85.58,130.335455292,10,1,10.0
2017-01-25,MAX_POSITIONS,US.INTU,85.8,112.038652096,10,1,10.0
2017-01-25,MAX_POSITIONS,US.AAPL,88.05,28.039477693,10,1,10.0
2017-01-25,MAX_POSITIONS,US.ISRG,90.14,77.7762216,10,1,10.0
2017-01-25,MAX_POSITIONS,US.WDAY,90.56,84.73,10,1,10.0
2017-01-25,MAX_POSITIONS,US.GOOG,100.0,41.418324745,10,1,10.0
2017-01-25,MAX_POSITIONS,US.SPY,98.33,197.67917057,10,1,10.0
2017-01-25,MAX_POSITIONS,US.AMZN,100.0,41.826,10,1,10.0
2017-01-25,MAX_POSITIONS,US.TXN,100.0,60.535181353,10,1,10.0
2017-01-25,MAX_POSITIONS,US.MRVL,100.0,14.313239263,10,1,10.0
2017-01-25,MAX_POSITIONS,US.LRCX,97.51,10.112927878,10,1,10.0
2017-01-26,MAX_POSITIONS,US.TMUS,100.0,60.600347611,10,1,10.0
2017-01-27,MAX_POSITIONS,US.BKNG,84.49,62.783157736,10,1,10.0
2017-01-27,MAX_POSITIONS,US.EA,94.03,80.703206781,10,1,10.0
2017-01-27,MAX_POSITIONS,US.ADI,100.0,64.523097402,10,1,10.0
2017-01-27,MAX_POSITIONS,US.MSFT,100.0,58.915792404,10,1,10.0
2017-02-01,MAX_POSITIONS,US.MU,80.82,24.138358398,10,2,20.0
2017-02-02,MAX_POSITIONS,US.CDNS,100.0,28.93,10,2,20.0
2017-02-02,MAX_POSITIONS,US.COST,100.0,142.711286004,10,2,20.0
2017-02-02,MAX_POSITIONS,US.PAYX,88.85,44.050269789,10,2,20.0
2017-02-03,MAX_POSITIONS,US.FTNT,100.0,7.544,10,2,20.0
2017-02-03,MAX_POSITIONS,US.AMGN,100.0,125.901772343,10,2,20.0
2017-02-03,MAX_POSITIONS,US.PANW,83.82,25.169748148,10,2,20.0
2017-02-06,MAX_POSITIONS,US.AMD,100.0,13.63,10,2,20.0
2017-02-08,MAX_POSITIONS,US.NXPI,89.16,89.941056455,10,2,20.0
2017-02-09,MAX_POSITIONS,US.TSLA,98.37,17.9464872,10,2,20.0
2017-02-09,MAX_POSITIONS,US.COST,100.0,145.486986669,10,2,20.0
2017-02-09,MAX_POSITIONS,US.PANW,100.0,25.914740694,10,2,20.0
2017-02-10,MAX_POSITIONS,US.BKNG,100.0,64.490490507,10,2,20.0
2017-02-10,MAX_POSITIONS,US.EA,100.0,83.624282447,10,2,20.0
2017-02-10,MAX_POSITIONS,US.TTWO,90.05,57.88,10,2,20.0
2017-02-10,MAX_POSITIONS,US.HON,81.55,98.068457254,10,2,20.0
