date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,final_pnl,foregone_gain_from_review_point,still_held_at_end
2018-11-30,986,OBSERVATION_EVICT,US.CTAS,44.44,2018-11-16,977,39.91,US.WDAY,100.0,,-89.12,-129.03,False
2018-11-30,986,LOW_PARTIAL_EVICT,US.FAST,64.93,2018-11-14,975,277.41,US.WDAY,100.0,0.25258912277533896,-240.12,-517.53,False
2019-01-17,1017,OBSERVATION_EVICT,US.NFLX,40.9,2019-01-04,1008,278.1,US.FAST,100.0,,337.77,59.66999999999996,False
2019-01-17,1017,LOW_PARTIAL_EVICT,US.PDD,60.17,2019-01-08,1010,87.48,US.FAST,100.0,0.060714364122852464,-135.02,-222.5,False
2019-04-01,1067,FULL_DOWNGRADE_REPLACE,US.AEP,81.79,2019-03-22,1061,-89.26,US.SNPS,100.0,0.20338900350046352,-45.39,43.870000000000005,False
2019-04-11,1075,OBSERVATION_EVICT,US.BKR,51.35,2019-01-07,1009,215.19,US.FAST,100.0,,75.71,-139.48000000000002,False
2019-05-01,1088,OBSERVATION_EVICT,US.MRVL,55.21,2019-01-09,1011,427.96,US.MDLZ,100.0,,279.47,-148.48999999999995,False
2019-05-16,1099,OBSERVATION_EVICT,US.SBUX,59.28,2019-01-22,1019,194.07,US.LIN,100.0,,339.0,144.93,False
2019-06-07,1114,LOW_PARTIAL_EVICT,US.CTAS,62.06,2019-05-21,1102,64.01,US.MNST,100.0,0.2924071205868046,361.51,297.5,False
2019-06-10,1115,FULL_DOWNGRADE_REPLACE,US.TTWO,81.0,2019-06-05,1112,6.9,US.DXCM,100.0,0.08131972892657398,333.22,326.32000000000005,False
2019-07-10,1136,OBSERVATION_EVICT,US.AMZN,47.66,2019-07-08,1134,19.53,US.META,87.29,,5.86,-13.670000000000002,False
2019-07-15,1139,FULL_DOWNGRADE_REPLACE,US.COST,85.75,2019-07-12,1138,12.42,US.TSLA,100.0,0.036361553201392983,-159.09,-171.51,False
2019-09-03,1174,OBSERVATION_EVICT,US.PDD,40.17,2019-08-13,1160,331.45,US.AEP,94.56,,265.6,-65.84999999999997,False
2019-09-03,1174,LOW_PARTIAL_EVICT,US.DXCM,60.31,2019-08-16,1163,141.57,US.AEP,94.56,0.18270899312457817,-304.51,-446.08,False
2019-10-11,1202,LOW_PARTIAL_EVICT,US.KLAC,65.02,2019-08-29,1172,221.17,US.FAST,100.0,0.43283770987472225,446.59,225.42,False
2019-11-22,1232,OBSERVATION_EVICT,US.ALGN,44.18,2019-10-09,1200,340.76,US.REGN,86.9,,285.76,-55.0,False
