date,day_idx,replacement_from,replacement_to,victim_score,incoming_score,score_delta,holding_days_before_replacement,victim_pnl,replacement_type,replacement_stability_score,incoming_final_pnl,incoming_closed
2018-06-12,866,US.MDLZ,US.PAYX,64.67,100.0,35.33,1,5.99,LOW_PARTIAL_EVICT,0.02610617502890329,56.04,True
2018-07-20,893,US.PEP,US.HON,62.9,100.0,37.1,1,1.65,LOW_PARTIAL_EVICT,0.025783386288659896,58.79,True
2018-08-16,912,US.FTNT,US.AAPL,51.63,81.89,30.26,2,1.14,OBSERVATION_EVICT,,-46.53,True
2018-08-23,917,US.PCAR,US.SNPS,61.88,100.0,38.12,4,-19.6,LOW_PARTIAL_EVICT,0.08835123958541552,-166.18,True
2018-11-30,986,US.CTAS,US.WDAY,44.44,100.0,55.56,9,35.33,OBSERVATION_EVICT,,-311.81,True
2018-12-03,987,US.PEP,US.AMD,52.51,93.71,41.2,9,-1.88,OBSERVATION_EVICT,,-305.5,True
2019-01-17,1017,US.NFLX,US.FAST,40.9,100.0,59.1,9,254.23,OBSERVATION_EVICT,,378.91,True
2019-01-18,1018,US.BKR,US.CTAS,51.35,93.01,41.66,9,75.88,OBSERVATION_EVICT,,149.02,True
2019-01-18,1018,US.MRVL,US.SNPS,55.21,87.75,32.54,7,-11.8,OBSERVATION_EVICT,,1184.6,True
2019-01-18,1018,US.DXCM,US.VRSK,58.14,85.33,27.19,7,69.03,OBSERVATION_EVICT,,10.62,True
2019-01-24,1021,US.SBUX,US.ADI,59.28,100.0,40.72,2,-6.67,OBSERVATION_EVICT,,303.34,True
2019-01-24,1021,US.PDD,US.LRCX,60.17,100.0,39.83,11,706.69,LOW_PARTIAL_EVICT,0.09540828647876816,364.94,True
2019-03-26,1063,US.MDLZ,US.VRSK,41.76,100.0,58.24,1,3.36,OBSERVATION_EVICT,,463.22,True
2019-03-28,1065,US.ADP,US.SBUX,50.94,82.37,31.43,1,3.64,OBSERVATION_EVICT,,475.48,True
2019-05-16,1099,US.TTWO,US.LIN,62.44,100.0,37.56,1,-0.64,LOW_PARTIAL_EVICT,0.018664128195507838,-36.61,True
2019-06-05,1112,US.IDXX,US.TTWO,43.34,81.0,37.66,7,0.93,OBSERVATION_EVICT,,244.36,True
2019-06-18,1121,US.MDLZ,US.AMGN,59.98,96.35,36.37,2,-5.08,OBSERVATION_EVICT,,83.29,True
2019-07-01,1130,US.TXN,US.AVGO,55.53,100.0,44.47,2,9.97,OBSERVATION_EVICT,,-243.33,True
2019-07-26,1148,US.TTD,US.GOOGL,55.66,100.0,44.34,1,43.8,OBSERVATION_EVICT,,-158.93,True
2019-09-03,1174,US.PDD,US.AEP,40.17,94.56,54.39,14,330.29,OBSERVATION_EVICT,,-41.37,True
2019-09-04,1175,US.DXCM,US.AMAT,60.31,100.0,39.69,12,95.38,LOW_PARTIAL_EVICT,0.19931890159044885,110.75,True
2019-09-04,1175,US.KLAC,US.LRCX,65.02,100.0,34.98,3,60.97,LOW_PARTIAL_EVICT,0.06492565648120834,177.17,True
2019-10-11,1202,US.ALGN,US.ASML,44.18,100.0,55.82,2,75.25,OBSERVATION_EVICT,,251.29,True
2019-10-11,1202,US.HON,US.FAST,44.83,100.0,55.17,6,6.81,OBSERVATION_EVICT,,-226.37,True
2019-10-15,1204,US.WDAY,US.NVDA,44.89,100.0,55.11,6,23.51,OBSERVATION_EVICT,,223.66,True
2019-11-01,1217,US.KDP,US.FTNT,49.07,100.0,50.93,1,0.61,OBSERVATION_EVICT,,687.74,True
2019-11-27,1235,US.ALGN,US.CDNS,55.47,94.53,39.06,30,271.12,OBSERVATION_EVICT,,-184.23,True
2020-04-29,1339,US.META,US.ALGN,41.8,94.18,52.38,5,69.68,OBSERVATION_EVICT,,-168.58,True
2020-04-29,1339,US.SPY,US.GOOGL,44.87,92.36,47.49,13,107.95,OBSERVATION_EVICT,,321.11,True
2020-06-19,1375,US.DDOG,US.AMGN,44.48,100.0,55.52,33,817.46,OBSERVATION_EVICT,,-121.49,True
2020-07-01,1383,US.AMD,US.AMGN,47.61,100.0,52.39,56,34.92,OBSERVATION_EVICT,,-237.59,True
2020-07-15,1392,US.CDNS,US.BKNG,50.06,94.56,44.5,10,33.56,OBSERVATION_EVICT,,-204.67,True
2021-05-28,1612,US.ORLY,US.NVDA,40.73,89.35,48.62,59,293.27,OBSERVATION_EVICT,,671.99,True
2022-03-17,1814,US.VRTX,US.DXCM,44.14,82.44,38.3,1,6.15,OBSERVATION_EVICT,,-387.76,True
2022-03-18,1815,US.AEP,US.PAYX,44.65,82.45,37.8,53,113.85,OBSERVATION_EVICT,,-123.28,True
2022-03-25,1820,US.NVDA,US.EXC,41.0,93.08,52.08,4,46.38,OBSERVATION_EVICT,,557.96,True
2022-03-29,1822,US.AAPL,US.ADP,44.3,95.31,51.01,4,75.51,OBSERVATION_EVICT,,-391.05,True
2022-03-29,1822,US.VRSK,US.PLTR,45.15,86.54,41.39,9,130.19,OBSERVATION_EVICT,,-340.85,True
2022-03-29,1822,US.BKR,US.PAYX,48.51,85.35,36.84,19,277.63,OBSERVATION_EVICT,,-254.06,True
2022-03-29,1822,US.REGN,US.BKNG,49.01,83.04,34.03,11,81.97,OBSERVATION_EVICT,,-297.68,True
2022-03-29,1822,US.TSLA,US.SPY,51.31,80.46,29.15,6,236.41,OBSERVATION_EVICT,,-146.07,True
2022-04-04,1826,US.VRTX,US.INTU,43.75,87.59,43.84,2,29.61,OBSERVATION_EVICT,,-311.94,True
2022-04-07,1829,US.AEP,US.COST,46.25,100.0,53.75,5,38.96,OBSERVATION_EVICT,,-281.24,True
2022-04-07,1829,US.AMGN,US.ORLY,50.68,100.0,49.32,1,6.38,OBSERVATION_EVICT,,-86.54,True
2022-04-13,1833,US.PEP,US.VRTX,56.7,99.57,42.87,5,2.66,OBSERVATION_EVICT,,-311.71,True
2022-05-27,1864,US.CEG,US.KLAC,40.92,99.69,58.77,1,86.68,OBSERVATION_EVICT,,-280.19,True
2022-05-27,1864,US.AMGN,US.SNPS,41.33,90.47,49.14,2,12.32,OBSERVATION_EVICT,,-303.88,True
2022-05-27,1864,US.GILD,US.LIN,42.92,83.79,40.87,2,-7.57,OBSERVATION_EVICT,,-163.54,True
2022-08-10,1914,US.ROST,US.TTD,45.61,100.0,54.39,17,93.54,OBSERVATION_EVICT,,-219.43,True
2022-08-12,1916,US.VRTX,US.AEP,48.6,81.15,32.55,3,-18.42,OBSERVATION_EVICT,,-27.95,True
2022-08-18,1920,US.AAPL,US.CSCO,49.2,100.0,50.8,1,-3.38,OBSERVATION_EVICT,,-255.23,True
2022-08-25,1925,US.KDP,US.PDD,50.81,100.0,49.19,22,76.26,OBSERVATION_EVICT,,-176.8,True
2022-10-24,1966,US.FANG,US.ORLY,46.54,100.0,53.46,12,101.98,OBSERVATION_EVICT,,424.64,True
2022-10-24,1966,US.DXCM,US.VRTX,49.45,82.63,33.18,12,51.25,OBSERVATION_EVICT,,-343.47,True
2022-10-28,1970,US.TTWO,US.DXCM,52.77,100.0,47.23,6,0.06,OBSERVATION_EVICT,,-268.24,True
2022-10-28,1970,US.HON,US.TMUS,56.92,100.0,43.08,5,124.9,OBSERVATION_EVICT,,-183.93,True
2022-10-28,1970,US.GILD,US.CTAS,67.98,98.65,30.67,5,683.47,LOW_PARTIAL_EVICT,0.12684084019564265,-106.52,True
2022-11-07,1976,US.MDLZ,US.LRCX,48.28,82.44,34.16,3,23.61,OBSERVATION_EVICT,,-219.39,True
2022-11-18,1985,US.CPRT,US.ROST,65.97,100.0,34.03,1,9.81,LOW_PARTIAL_EVICT,0.020511819639634624,21.91,True
2023-01-17,2023,US.META,US.CDNS,47.57,83.39,35.82,8,62.29,OBSERVATION_EVICT,,1469.17,True
2023-01-20,2026,US.GOOG,US.GOOGL,41.5,100.0,58.5,1,52.25,OBSERVATION_EVICT,,-123.4,True
2023-01-23,2027,US.BKNG,US.NVDA,62.74,100.0,37.26,10,335.95,LOW_PARTIAL_EVICT,0.20853413351282682,6226.67,True
