date,code,side,qty,price,pnl,reason,strategy,entry_date,fee
2018-10-10,US.QCOM,SELL,73,7641.43548714,-20790.53,ATR_TRAIL,atr_breakout,2018-08-28,1135.88
2018-10-10,US.SHG,SELL,22,4749.199186059999,-2307.42,STRAT_EXIT,atr_breakout,2018-10-08,211.17
2018-10-11,US.QQQ,SELL,125,22515.56459768,1067389.76,MA200_BREAK,core_etf,2016-06-30,4558.69
2018-10-11,US.CSCO,SELL,112,4957.57427102,-9826.94,ATR_TRAIL,atr_breakout,2018-08-16,1119.77
2018-10-11,US.FANG,SELL,28,13479.81114788,-25377.38,STOP_LOSS,atr_breakout,2018-09-24,779.87
2018-10-12,US.PAYX,BUY,18,7546.467247199999,,SIGNAL,boll_mr,,
2018-10-12,US.SPY,BUY,4,34359.40602724,,SIGNAL,boll_mr,,
2018-10-12,US.QQQ,BUY,75,23145.02664404,,QQQ_BETA_FLOOR,core_etf,,
2018-10-16,US.KDP,BUY,94,2766.7797364199996,,SIGNAL,atr_breakout,,
2018-10-23,US.AVGO,SELL,184,2496.310838126,-24634.12,STOP_LOSS,atr_breakout,2018-09-07,942.82
2018-10-23,US.KDP,SELL,94,2749.4077415,-1891.41,STRAT_EXIT,atr_breakout,2018-10-16,518.52
2018-10-23,US.CDNS,BUY,191,6559.0,,SIGNAL,atr_breakout,,
2018-10-24,US.PAYX,SELL,18,7093.19277142,-8286.62,STOP_LOSS,boll_mr,2018-10-12,263.51
2018-10-24,US.QQQ,SELL,75,21947.44842878,-91464.42,MA200_BREAK,core_etf,2018-10-12,3381.94
2018-10-24,US.AEP,BUY,173,7849.97037244,,SIGNAL,atr_breakout,,
2018-10-24,US.XEL,BUY,146,5568.547931519999,,SIGNAL,atr_breakout,,
2018-10-24,US.PEP,BUY,16,12447.461151020001,,SIGNAL,atr_breakout,,
2018-10-24,US.EXC,BUY,59,3360.5445643,,SIGNAL,atr_breakout,,
2018-10-25,US.ORLY,SELL,237,2966.720253488137,40512.82,ATR_TRAIL,atr_breakout,2018-07-19,1365.01
2018-10-26,US.AEP,SELL,173,7538.99697068,-55102.64,STRAT_EXIT,atr_breakout,2018-10-24,2662.29
2018-10-26,US.XEL,SELL,146,5374.65698686,-29092.78,STRAT_EXIT,atr_breakout,2018-10-24,1597.71
2018-10-26,US.PEP,SELL,16,12170.875390660001,-4620.11,STRAT_EXIT,atr_breakout,2018-10-24,393.89
2018-10-26,US.EXC,SELL,59,3291.45850446,-4270.27,STRAT_EXIT,atr_breakout,2018-10-24,392.47
2018-10-26,US.TSLA,BUY,359,3088.369116,,SIGNAL,atr_breakout,,
2018-10-29,US.AAPL,SELL,78,6953.962640196065,8268.13,ATR_TRAIL,atr_breakout,2018-08-02,1076.01
2018-10-29,US.SPY,SELL,4,32641.435725878,-7002.45,STOP_LOSS,boll_mr,2018-10-12,268.0
2018-10-29,US.CDNS,SELL,191,6188.0,-72042.91,STOP_LOSS,atr_breakout,2018-10-23,2434.68
2018-10-29,US.KDP,BUY,130,2810.7887904599997,,SIGNAL,atr_breakout,,
2018-10-30,US.CMCSA,BUY,391,3973.46792906,,SIGNAL,atr_breakout,,
2018-11-01,US.ON,BUY,108,2576.0,,SIGNAL,atr_breakout,,
2018-11-01,US.QQQ,BUY,76,22843.631681220002,,QQQ_BETA_FLOOR,core_etf,,
2018-11-02,US.QQQ,SELL,76,22486.225265,-28871.84,MA200_BREAK,core_etf,2018-11-01,3445.07
2018-11-02,US.SBUX,BUY,155,7602.77663768,,SIGNAL,atr_breakout,,
2018-11-02,US.MELI,BUY,4,49614.6,,SIGNAL,atr_breakout,,
2018-11-02,US.ZS,BUY,37,5518.8,,SIGNAL,atr_breakout,,
2018-11-05,US.ON,SELL,108,2447.2,-14174.7,STOP_LOSS,atr_breakout,2018-11-01,542.51
2018-11-05,US.COST,BUY,23,29563.04711276,,SIGNAL,atr_breakout,,
2018-11-05,US.PEP,BUY,14,12605.03789888,,SIGNAL,atr_breakout,,
2018-11-05,US.ROST,BUY,12,13145.276602920001,,SIGNAL,atr_breakout,,
2018-11-06,US.MELI,SELL,4,47066.6,-10380.27,STOP_LOSS,atr_breakout,2018-11-02,386.72
2018-11-06,US.BKNG,BUY,52,10689.900715759999,,SIGNAL,atr_breakout,,
2018-11-06,US.MDLZ,BUY,28,5001.8730088600005,,SIGNAL,atr_breakout,,
2018-11-07,US.QQQ,BUY,22,23313.061003820003,,QQQ_BETA_FLOOR,core_etf,,
2018-11-09,US.QQQ,SELL,22,22771.616955499998,-12412.74,MA200_BREAK,core_etf,2018-11-07,1013.86
2018-11-12,US.CMCSA,SELL,391,4004.0249617199997,10382.23,STRAT_EXIT,atr_breakout,2018-10-30,3119.2
2018-11-12,US.XEL,BUY,122,5662.72353332,,SIGNAL,atr_breakout,,
2018-11-14,US.COST,SELL,23,29489.2263484,-2376.13,STRAT_EXIT,atr_breakout,2018-11-05,1358.2
2018-11-14,US.BKNG,SELL,52,10354.91254742,-17957.84,STRAT_EXIT,atr_breakout,2018-11-06,1094.33
2018-11-14,US.MDLZ,SELL,28,5038.29188912,878.66,STRAT_EXIT,atr_breakout,2018-11-06,281.12
2018-11-14,US.FAST,BUY,491,1615.36470508,,SIGNAL,atr_breakout,,
2018-11-14,US.KEP,BUY,119,1691.47386254,,SIGNAL,atr_breakout,,
2018-11-15,US.ROST,SELL,12,12488.012772774,-8037.02,STOP_LOSS,atr_breakout,2018-11-05,307.6
2018-11-16,US.CTAS,BUY,33,5972.734347019999,,SIGNAL,atr_breakout,,
2018-11-16,US.KLAC,BUY,156,1224.1327501199999,,SIGNAL,atr_breakout,,
2018-11-19,US.ZS,SELL,37,4634.0,-32909.06,STOP_LOSS,atr_breakout,2018-11-02,375.65
2018-11-19,US.KEP,SELL,119,1640.5016129599999,-6260.92,STRAT_EXIT,atr_breakout,2018-11-14,396.51
2018-11-19,US.KLAC,SELL,156,1162.9261126139997,-9729.65,STOP_LOSS,atr_breakout,2018-11-16,372.38
2018-11-20,US.PDD,BUY,64,3239.6,,SIGNAL,atr_breakout,,
2018-11-20,US.AEP,BUY,24,8176.4079467,,SIGNAL,atr_breakout,,
2018-11-21,US.XEL,SELL,122,5622.83739612,-5552.09,STRAT_EXIT,atr_breakout,2018-11-12,1376.84
2018-11-26,US.PDD,SELL,64,2970.7999999999997,-17393.33,STOP_LOSS,atr_breakout,2018-11-20,397.47
2018-11-26,US.KEP,BUY,440,1730.3737372599999,,SIGNAL,atr_breakout,,
2018-11-28,US.PAYX,BUY,109,7901.2662082199995,,SIGNAL,atr_breakout,,
2018-11-28,US.AMGN,BUY,23,22425.32244652,,SIGNAL,atr_breakout,,
2018-12-03,US.QQQ,BUY,21,22879.63904394,,QQQ_BETA_FLOOR,core_etf,,
2018-12-04,US.PAYX,SELL,109,7728.40858482,-19683.88,STRAT_EXIT,atr_breakout,2018-11-28,1703.63
2018-12-04,US.AMGN,SELL,23,22017.83222632,-9878.69,STRAT_EXIT,atr_breakout,2018-11-28,1022.19
2018-12-04,US.QQQ,SELL,21,21998.12545784,-18973.75,MA200_BREAK,core_etf,2018-12-03,942.43
2018-12-04,US.EXC,BUY,89,3574.3648929799997,,SIGNAL,atr_breakout,,
2018-12-06,US.CTAS,SELL,33,5674.097629669,-10042.26,STOP_LOSS,atr_breakout,2018-11-16,384.35
2018-12-06,US.ZS,BUY,15,6017.2,,SIGNAL,atr_breakout,,
2018-12-06,US.OKTA,BUY,9,9373.0,,SIGNAL,atr_breakout,,
2018-12-07,US.ZS,SELL,15,5654.6,-5523.82,STOP_LOSS,atr_breakout,2018-12-06,175.08
2018-12-07,US.OKTA,SELL,9,8733.2,-5836.8,STOP_LOSS,atr_breakout,2018-12-06,162.96
2018-12-10,US.SHG,BUY,49,4168.66203656,,SIGNAL,boll_mr,,
2018-12-12,US.AVGO,BUY,101,2906.4779233,,SIGNAL,atr_breakout,,
2018-12-17,US.FAST,SELL,491,1531.7914147200001,-41786.6,STOP_LOSS,atr_breakout,2018-11-14,1545.25
2018-12-18,US.KDP,SELL,130,2853.6397114399997,5199.65,ATR_TRAIL,atr_breakout,2018-10-29,736.38
2018-12-20,US.TSLA,SELL,359,2933.9506601999997,-56489.51,STOP_LOSS,atr_breakout,2018-10-26,2162.01
2018-12-20,US.PEP,SELL,14,12157.807968598034,-6431.43,ATR_TRAIL,atr_breakout,2018-11-05,346.68
2018-12-20,US.AVGO,SELL,101,2761.154027135,-14956.59,STOP_LOSS,atr_breakout,2018-12-12,572.43
2018-12-24,US.SBUX,SELL,155,7196.76973498,-64046.57,STOP_LOSS,atr_breakout,2018-11-02,2293.93
2018-12-24,US.AEP,SELL,24,7701.2999189,-11587.42,STOP_LOSS,atr_breakout,2018-11-20,381.06
2018-12-24,US.EXC,SELL,89,3333.05316666,-21773.39,STOP_LOSS,atr_breakout,2018-12-04,614.76
2018-12-27,US.LPL,BUY,513,1146.6484630999998,,SIGNAL,atr_breakout,,
2018-12-27,US.WF,BUY,32,5041.50748808,,SIGNAL,atr_breakout,,
2018-12-28,US.WF,SELL,32,4789.432113676,-8219.67,STOP_LOSS,atr_breakout,2018-12-27,314.59
2019-01-02,US.LPL,SELL,513,1089.3160399449998,-29970.35,STOP_LOSS,atr_breakout,2018-12-27,1147.05
2019-01-04,US.NFLX,BUY,42,4165.9800000000005,,SIGNAL,atr_breakout,,
2019-01-04,US.REGN,BUY,3,55201.070768339996,,SIGNAL,atr_breakout,,
2019-01-04,US.PCAR,BUY,40,4185.43450444,,SIGNAL,atr_breakout,,
2019-01-04,US.ROST,BUY,14,11103.33968632,,SIGNAL,atr_breakout,,
2019-01-07,US.EA,BUY,45,11900.32640048,,SIGNAL,atr_breakout,,
