code,entry_date,sell_date,strategy,exit_reason,pnl,return_pct
US.HON,2019-08-06,2019-08-23,boll_mr,STOP_LOSS,-2033.82,-5.09
US.VRTX,2019-08-08,2019-08-28,atr_breakout,STOP_LOSS,-5219.64,-5.09
US.CDNS,2019-08-06,2019-08-29,boll_mr,STRAT_EXIT,-139.31,-0.29
US.VRSK,2019-08-08,2019-09-09,atr_breakout,STRAT_EXIT,2584.86,2.48
US.PEP,2019-08-26,2019-09-16,atr_breakout,STRAT_EXIT,1528.72,1.45
US.FANG,2019-09-16,2019-09-18,atr_breakout,STOP_LOSS,-27064.55,-6.57
US.SBUX,2019-01-22,2019-09-25,atr_breakout,ATR_TRAIL,53391.83,38.12
US.LRCX,2019-09-25,2019-09-27,atr_breakout,STOP_LOSS,-4761.21,-5.09
US.AMAT,2019-09-18,2019-09-27,atr_breakout,STOP_LOSS,-4631.85,-5.2
US.CTAS,2019-06-05,2019-10-02,atr_breakout,STRAT_EXIT,59719.79,12.21
US.PEP,2019-10-04,2019-10-08,atr_breakout,STRAT_EXIT,-2164.99,-2.26
US.PDD,2019-08-13,2019-11-20,atr_breakout,ATR_TRAIL,36121.74,31.87
US.KLAC,2019-08-29,2019-11-20,atr_breakout,STRAT_EXIT,71246.76,19.2
US.COST,2019-08-28,2019-11-26,atr_breakout,STRAT_EXIT,2962.09,2.64
US.TTD,2019-11-20,2019-12-02,atr_breakout,STOP_LOSS,-5961.71,-5.53
US.ZS,2019-12-03,2019-12-04,atr_breakout,STOP_LOSS,-6719.66,-5.68
US.PEP,2019-12-04,2019-12-10,atr_breakout,STRAT_EXIT,-169.13,-0.15
US.HON,2019-10-03,2019-12-19,boll_mr,STRAT_EXIT,4032.43,10.23
US.SHG,2019-12-13,2020-01-06,atr_breakout,STOP_LOSS,-22965.59,-5.85
US.SPY,2019-10-03,2020-01-22,boll_mr,TAKE_PROFIT,5489.54,14.87
US.ALGN,2019-10-09,2020-01-27,atr_breakout,ATR_TRAIL,40005.89,37.7
US.UMC,2019-12-03,2020-01-30,atr_breakout,ATR_TRAIL,-2461.42,-2.02
US.TSM,2019-10-01,2020-01-31,atr_breakout,ATR_TRAIL,56825.46,15.88
US.AAPL,2020-01-29,2020-02-03,atr_breakout,STOP_LOSS,-4457.35,-5.09
US.TSLA,2020-02-03,2020-02-05,atr_breakout,STOP_LOSS,-22341.95,-5.9
US.CSCO,2019-12-19,2020-02-24,atr_breakout,STOP_LOSS,-36611.94,-7.51
US.ADBE,2019-11-29,2020-02-24,atr_breakout,ATR_TRAIL,11177.26,12.88
US.CTAS,2020-02-05,2020-02-25,atr_breakout,ATR_TRAIL,-11207.52,-4.03
US.GOOGL,2020-01-06,2020-02-25,atr_breakout,ATR_TRAIL,-4377.76,-0.92
US.INTU,2020-01-22,2020-02-27,atr_breakout,STOP_LOSS,-32516.68,-7.57
US.REGN,2020-02-26,2020-02-27,atr_breakout,STOP_LOSS,-7426.31,-5.83
US.MNST,2019-12-10,2020-02-27,atr_breakout,ATR_TRAIL,18954.78,3.52
US.GILD,2020-02-26,2020-02-28,atr_breakout,STOP_LOSS,-9493.5,-7.23
US.EXC,2020-04-09,2020-04-15,atr_breakout,STOP_LOSS,-9289.28,-5.5
US.LIN,2020-04-09,2020-04-15,atr_breakout,STOP_LOSS,-7316.8,-5.09
US.PKX,2020-04-13,2020-04-16,atr_breakout,STOP_LOSS,-5751.0,-5.31
US.ZS,2020-04-15,2020-04-21,atr_breakout,STOP_LOSS,-26454.68,-6.92
US.EA,2020-04-16,2020-04-21,atr_breakout,STOP_LOSS,-17985.44,-5.09
US.KDP,2020-04-09,2020-04-21,atr_breakout,STOP_LOSS,-7867.59,-5.09
US.PDD,2020-04-22,2020-04-23,atr_breakout,STOP_LOSS,-6361.26,-5.8
US.MRVL,2020-04-22,2020-05-01,atr_breakout,STOP_LOSS,-5377.55,-5.09
US.SPY,2020-04-09,2020-05-06,atr_breakout,STRAT_EXIT,2960.41,2.07
US.SBUX,2020-04-09,2020-07-17,atr_breakout,STRAT_EXIT,1367.32,0.84
US.ISRG,2020-07-17,2020-09-17,atr_breakout,ATR_TRAIL,16009.16,3.76
US.META,2020-04-09,2020-09-17,atr_breakout,ATR_TRAIL,64062.07,43.85
US.UMC,2020-09-28,2020-09-29,atr_breakout,STOP_LOSS,-68308.77,-5.09
US.KB,2020-09-25,2020-09-29,atr_breakout,STRAT_EXIT,-8809.04,-2.82
US.PKX,2020-09-28,2020-10-13,atr_breakout,STRAT_EXIT,10914.92,4.57
US.WF,2020-09-30,2020-10-14,atr_breakout,STRAT_EXIT,3952.4,1.44
US.LPL,2020-09-08,2020-10-16,atr_breakout,STRAT_EXIT,5472.25,2.3
US.EXC,2020-10-16,2020-10-28,atr_breakout,STOP_LOSS,-13337.44,-6.08
US.DXCM,2020-04-15,2020-10-28,atr_breakout,ATR_TRAIL,19978.31,19.55
US.PDD,2020-10-29,2020-10-30,atr_breakout,STOP_LOSS,-11413.09,-5.09
US.DDOG,2020-05-04,2020-11-11,atr_breakout,ATR_TRAIL,78673.88,81.6
US.AEP,2020-09-30,2020-11-19,atr_breakout,ATR_TRAIL,4525.3,1.61
US.KB,2020-11-11,2020-12-22,atr_breakout,STOP_LOSS,-48278.93,-5.66
US.PANW,2020-12-22,2020-12-31,atr_breakout,STOP_LOSS,-44231.29,-5.09
US.TTD,2020-09-30,2021-01-04,atr_breakout,ATR_TRAIL,145725.15,48.86
US.SHG,2020-11-02,2021-01-20,atr_breakout,STRAT_EXIT,21967.22,9.13
US.MNST,2020-12-31,2021-01-27,atr_breakout,STOP_LOSS,-45986.99,-7.17
