date,code,side,qty,price,pnl,reason,strategy,trend_score,fundamental_score,news_score,weather_score,total_score,score_label,replacement_from,replacement_score_delta
2020-07-02,US.ASTS,BUY,257,10.22,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-07-24,US.TSM,BUY,42,66.189887164,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-07-24,US.CMCSA,BUY,56,33.873727757,,SIGNAL,atr_breakout,42.448652699892676,,,100.0,61.63,PARTIAL,,
2020-08-20,US.SNPS,BUY,12,215.16,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-09-09,US.CAT,BUY,4,137.415196405,,SIGNAL,atr_breakout,38.80095281004448,,,100.0,59.2,OBSERVATION,,
2020-09-10,US.ASTS,BUY,203,10.18,,SIGNAL,atr_breakout,56.73830651584046,,,100.0,71.16,PARTIAL,,
2020-09-14,US.MU,BUY,43,47.818331808,,SIGNAL,atr_breakout,51.057474169453286,,,100.0,67.37,PARTIAL,,
2020-09-17,US.GE,BUY,80,34.131350175,,SIGNAL,atr_breakout,82.70958333286296,,,100.0,88.47,FULL,,
2020-09-22,US.EMR,BUY,4,57.940011048,,SIGNAL,boll_mr,26.88454910065992,,,100.0,51.26,OBSERVATION,,
2020-09-22,US.DDOG,BUY,6,93.41,,SIGNAL,atr_breakout,12.900231457303343,,,100.0,41.93,OBSERVATION,,
2020-09-24,US.GLD,BUY,1,175.44,,SIGNAL,boll_mr,32.63735914891659,,,100.0,55.09,OBSERVATION,,
2020-09-30,US.DDOG,BUY,20,102.16,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.EMR,48.74
2020-10-01,US.STM,BUY,81,31.667316626,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.GLD,44.91
2020-10-15,US.COHR,BUY,29,46.67,,SIGNAL,atr_breakout,22.995315664012736,,,100.0,48.66,OBSERVATION,,
2020-10-16,US.TEAM,BUY,29,207.45,,SIGNAL,atr_breakout,96.21791845393594,,,100.0,97.48,FULL,US.COHR,48.82
2020-10-21,US.COPX,BUY,363,19.610825299,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-10-21,US.SCCO,BUY,35,36.606170674,,SIGNAL,atr_breakout,15.265591704489658,,,100.0,43.51,OBSERVATION,,
2020-10-22,US.ALGN,BUY,12,453.23,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.SCCO,56.49
2020-10-26,US.TSEM,BUY,234,20.88,,SIGNAL,atr_breakout,66.82487515436748,,,100.0,77.88,PARTIAL,,
2020-10-26,US.AEP,BUY,54,76.774425081,,SIGNAL,atr_breakout,47.60816803130248,,,100.0,65.07,PARTIAL,,
2020-10-29,US.PDD,BUY,15,94.12,,SIGNAL,atr_breakout,22.82686404360873,,,100.0,48.55,OBSERVATION,,
2020-10-29,US.PPA,BUY,10,51.972218941,,SIGNAL,boll_mr,21.974354117140404,,,100.0,47.98,OBSERVATION,,
2020-10-30,US.BKR,BUY,132,12.758323548,,SIGNAL,atr_breakout,14.517439005516913,,,100.0,43.01,OBSERVATION,,
2020-11-02,US.SCCO,BUY,180,39.759978206,,SIGNAL,atr_breakout,82.58258816921162,,,100.0,88.39,FULL,,
2020-11-03,US.ADP,BUY,41,146.927237648,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.BKR,56.99
2020-11-03,US.PAYX,BUY,68,73.434663222,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.PPA,52.02
2021-01-13,US.BE,BUY,34,38.71,,SIGNAL,atr_breakout,45.67874196813299,,,100.0,63.79,PARTIAL,,
